Timestamp,MessageId,MessageType,SendTimestamp,ReceiveTimestamp,QueueTimestamp,ApplyTimestamp,RenderStartTimestamp,RenderEndTimestamp,EndToEndLatency,ProcessingLatency,RenderLatency,QueueDepth,UIRenderQueueDepth,CPUUsage,MemoryUsage,Gen0Collections,Gen1Collections,Gen2Collections
# SUMMARY 2025-09-14 07:34:50.971: Messages=0, Throughput=0.0/sec, IntervalThroughput=0.0/sec, E2E_Latency_P50=0ms, E2E_Latency_P95=0ms, E2E_Latency_P99=0ms, Processing_P50=0ms, Processing_P95=0ms, Processing_P99=0ms, Render_P50=0ms, Render_P95=0ms, Render_P99=0ms, CPU=100.0%, Memory=126MB, UIQueue=0, GC_Gen0=1, GC_Gen1=0, GC_Gen2=0
2025-09-14 07:34:58.961,TradeBook,1757835298781,1757835298887,1757835298889,1757835298894,0,0,-1757835298781,7,0,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835298790,1757835298888,1757835298967,1757835299068,1757835298969,1757835298989,199,180,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,TradeBook,1757835298794,1757835298888,1757835298967,1757835299074,1757835298969,1757835298989,195,186,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835298800,1757835298888,1757835298967,1757835299074,1757835298969,1757835298989,189,186,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,TradeBook,1757835298811,1757835298888,1757835298967,1757835299074,1757835298969,1757835298989,178,186,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,TradeBook,1757835298821,1757835298888,1757835298967,1757835299074,1757835298969,1757835298989,168,186,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835298831,1757835298888,1757835298967,1757835299074,1757835298969,1757835298989,158,186,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835298841,1757835298888,1757835298967,1757835299074,1757835298969,1757835298989,148,186,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835298852,1757835298888,1757835298967,1757835299074,1757835298969,1757835298989,137,186,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835298862,1757835298888,1757835298967,1757835299074,1757835298969,1757835298989,127,186,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835298871,1757835298888,1757835298967,1757835299074,1757835298969,1757835298989,118,186,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835298883,1757835298888,1757835298967,1757835299074,1757835298969,1757835298989,106,186,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835298892,1757835298892,1757835298967,1757835299074,1757835298969,1757835298989,97,182,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835298902,1757835298902,1757835298967,1757835299074,1757835298969,1757835298989,87,172,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835298912,1757835298912,1757835298967,1757835299074,1757835298969,1757835298989,77,162,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835298922,1757835298927,1757835298967,1757835299074,1757835298969,1757835298989,67,147,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,TradeBook,1757835298932,1757835298933,1757835298967,1757835299074,1757835298969,1757835298989,57,141,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835298942,1757835298943,1757835298967,1757835299074,1757835298969,1757835298989,47,131,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,TradeBook,1757835298952,1757835298953,1757835298967,1757835299074,1757835298969,1757835298989,37,121,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835298963,1757835298963,1757835298967,1757835299074,1757835298969,1757835298989,26,111,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835298973,1757835298974,1757835298974,1757835299074,1757835298969,1757835298989,16,100,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835298984,1757835298985,1757835298985,1757835299074,1757835298969,1757835298989,5,89,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835298993,1757835298994,1757835298994,1757835299074,1757835298969,1757835298989,-4,80,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835299003,1757835299004,1757835299004,1757835299074,1757835298969,1757835298989,-14,70,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835299014,1757835299014,1757835299014,1757835299074,1757835298969,1757835298989,-25,60,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835299024,1757835299025,1757835299025,1757835299074,1757835298969,1757835298989,-35,49,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835299034,1757835299035,1757835299035,1757835299074,1757835298969,1757835298989,-45,39,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835299044,1757835299044,1757835299044,1757835299074,1757835298969,1757835298989,-55,30,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835299054,1757835299055,1757835299055,1757835299074,1757835298969,1757835298989,-65,19,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.093,OrderBook,1757835299064,1757835299068,1757835299068,1757835299074,1757835298969,1757835298989,-75,6,20,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.201,TradeBook,1757835299074,1757835299075,1757835299093,1757835299201,1757835299124,1757835299126,52,126,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.201,OrderBook,1757835299090,1757835299092,1757835299093,1757835299201,1757835299124,1757835299126,36,109,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.201,OrderBook,1757835299106,1757835299106,1757835299106,1757835299201,1757835299124,1757835299126,20,95,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.201,OrderBook,1757835299122,1757835299123,1757835299123,1757835299201,1757835299124,1757835299126,4,78,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.201,OrderBook,1757835299130,1757835299130,1757835299131,1757835299201,1757835299124,1757835299126,-4,71,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.201,OrderBook,1757835299140,1757835299140,1757835299140,1757835299201,1757835299124,1757835299126,-14,61,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.201,OrderBook,1757835299149,1757835299150,1757835299150,1757835299201,1757835299124,1757835299126,-23,51,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.201,TradeBook,1757835299160,1757835299162,1757835299162,1757835299201,1757835299124,1757835299126,-34,39,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.201,TradeBook,1757835299170,1757835299171,1757835299171,1757835299201,1757835299124,1757835299126,-44,30,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.201,TradeBook,1757835299180,1757835299180,1757835299180,1757835299201,1757835299124,1757835299126,-54,21,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.201,OrderBook,1757835299190,1757835299190,1757835299191,1757835299201,1757835299124,1757835299126,-64,11,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.201,TradeBook,1757835299201,1757835299201,1757835299201,1757835299201,1757835299124,1757835299126,-75,0,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.303,OrderBook,1757835299212,1757835299212,1757835299212,1757835299303,1757835299232,1757835299235,23,91,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.303,OrderBook,1757835299221,1757835299222,1757835299222,1757835299303,1757835299232,1757835299235,14,81,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.303,OrderBook,1757835299231,1757835299232,1757835299232,1757835299303,1757835299232,1757835299235,4,71,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.303,TradeBook,1757835299241,1757835299242,1757835299242,1757835299303,1757835299232,1757835299235,-6,61,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.303,TradeBook,1757835299252,1757835299252,1757835299252,1757835299303,1757835299232,1757835299235,-17,51,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.303,OrderBook,1757835299262,1757835299263,1757835299263,1757835299303,1757835299232,1757835299235,-27,40,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.303,OrderBook,1757835299272,1757835299273,1757835299273,1757835299303,1757835299232,1757835299235,-37,30,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.303,TradeBook,1757835299282,1757835299283,1757835299283,1757835299303,1757835299232,1757835299235,-47,20,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.303,OrderBook,1757835299292,1757835299293,1757835299293,1757835299303,1757835299232,1757835299235,-57,10,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.303,OrderBook,1757835299303,1757835299303,1757835299303,1757835299303,1757835299232,1757835299235,-68,0,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.409,TradeBook,1757835299313,1757835299313,1757835299313,1757835299408,1757835299329,1757835299336,23,95,7,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.409,TradeBook,1757835299323,1757835299324,1757835299324,1757835299408,1757835299329,1757835299336,13,84,7,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.409,OrderBook,1757835299334,1757835299334,1757835299335,1757835299408,1757835299329,1757835299336,2,74,7,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.409,OrderBook,1757835299344,1757835299344,1757835299344,1757835299409,1757835299329,1757835299336,-8,65,7,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.409,OrderBook,1757835299354,1757835299356,1757835299356,1757835299409,1757835299329,1757835299336,-18,53,7,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.409,OrderBook,1757835299364,1757835299365,1757835299365,1757835299409,1757835299329,1757835299336,-28,44,7,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.409,OrderBook,1757835299375,1757835299375,1757835299375,1757835299409,1757835299329,1757835299336,-39,34,7,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.409,OrderBook,1757835299386,1757835299386,1757835299386,1757835299409,1757835299329,1757835299336,-50,23,7,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.409,TradeBook,1757835299395,1757835299396,1757835299396,1757835299409,1757835299329,1757835299336,-59,13,7,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.409,TradeBook,1757835299407,1757835299408,1757835299408,1757835299409,1757835299329,1757835299336,-71,1,7,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.513,TradeBook,1757835299415,1757835299416,1757835299416,1757835299512,1757835299449,1757835299452,37,96,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.513,OrderBook,1757835299425,1757835299426,1757835299426,1757835299512,1757835299449,1757835299452,27,86,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.513,OrderBook,1757835299436,1757835299437,1757835299437,1757835299512,1757835299449,1757835299452,16,75,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.513,OrderBook,1757835299446,1757835299447,1757835299447,1757835299512,1757835299449,1757835299452,6,65,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.513,TradeBook,1757835299456,1757835299457,1757835299457,1757835299512,1757835299449,1757835299452,-4,55,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.513,OrderBook,1757835299467,1757835299467,1757835299467,1757835299512,1757835299449,1757835299452,-15,45,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.513,OrderBook,1757835299478,1757835299479,1757835299479,1757835299512,1757835299449,1757835299452,-26,33,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.513,OrderBook,1757835299487,1757835299487,1757835299487,1757835299512,1757835299449,1757835299452,-35,25,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.513,OrderBook,1757835299497,1757835299512,1757835299512,1757835299512,1757835299449,1757835299452,-45,0,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.617,OrderBook,1757835299507,1757835299512,1757835299513,1757835299617,1757835299551,1757835299553,46,105,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.617,TradeBook,1757835299517,1757835299517,1757835299518,1757835299617,1757835299551,1757835299553,36,100,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.617,OrderBook,1757835299534,1757835299535,1757835299535,1757835299617,1757835299551,1757835299553,19,82,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.617,TradeBook,1757835299545,1757835299545,1757835299545,1757835299617,1757835299551,1757835299553,8,72,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.617,TradeBook,1757835299555,1757835299556,1757835299556,1757835299617,1757835299551,1757835299553,-2,61,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.617,TradeBook,1757835299566,1757835299566,1757835299567,1757835299617,1757835299551,1757835299553,-13,51,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.617,TradeBook,1757835299575,1757835299576,1757835299576,1757835299617,1757835299551,1757835299553,-22,41,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.617,OrderBook,1757835299586,1757835299586,1757835299586,1757835299617,1757835299551,1757835299553,-33,31,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.617,OrderBook,1757835299598,1757835299600,1757835299600,1757835299617,1757835299551,1757835299553,-45,17,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.617,OrderBook,1757835299606,1757835299607,1757835299607,1757835299617,1757835299551,1757835299553,-53,10,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.617,TradeBook,1757835299616,1757835299617,1757835299617,1757835299617,1757835299551,1757835299553,-63,0,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.720,TradeBook,1757835299628,1757835299628,1757835299628,1757835299720,1757835299657,1757835299660,32,92,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.720,OrderBook,1757835299637,1757835299638,1757835299638,1757835299720,1757835299657,1757835299660,23,82,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.720,TradeBook,1757835299647,1757835299648,1757835299648,1757835299720,1757835299657,1757835299660,13,72,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.720,OrderBook,1757835299658,1757835299659,1757835299659,1757835299720,1757835299657,1757835299660,2,61,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.720,OrderBook,1757835299667,1757835299667,1757835299667,1757835299720,1757835299657,1757835299660,-7,53,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.720,TradeBook,1757835299681,1757835299682,1757835299682,1757835299720,1757835299657,1757835299660,-21,38,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.720,TradeBook,1757835299688,1757835299689,1757835299689,1757835299720,1757835299657,1757835299660,-28,31,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.720,OrderBook,1757835299698,1757835299698,1757835299698,1757835299720,1757835299657,1757835299660,-38,22,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.720,OrderBook,1757835299708,1757835299708,1757835299708,1757835299720,1757835299657,1757835299660,-48,12,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.720,TradeBook,1757835299717,1757835299719,1757835299720,1757835299720,1757835299657,1757835299660,-57,1,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.830,OrderBook,1757835299728,1757835299728,1757835299728,1757835299829,1757835299752,1757835299754,26,101,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.830,OrderBook,1757835299740,1757835299740,1757835299740,1757835299829,1757835299752,1757835299754,14,89,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.830,TradeBook,1757835299749,1757835299751,1757835299751,1757835299829,1757835299752,1757835299754,5,78,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.830,TradeBook,1757835299758,1757835299759,1757835299759,1757835299829,1757835299752,1757835299754,-4,70,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.830,TradeBook,1757835299769,1757835299769,1757835299769,1757835299829,1757835299752,1757835299754,-15,60,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.830,OrderBook,1757835299779,1757835299780,1757835299781,1757835299829,1757835299752,1757835299754,-25,49,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.830,OrderBook,1757835299790,1757835299791,1757835299791,1757835299829,1757835299752,1757835299754,-36,38,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.830,TradeBook,1757835299799,1757835299800,1757835299800,1757835299829,1757835299752,1757835299754,-45,29,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.830,OrderBook,1757835299810,1757835299811,1757835299811,1757835299829,1757835299752,1757835299754,-56,18,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.830,OrderBook,1757835299819,1757835299819,1757835299819,1757835299830,1757835299752,1757835299754,-65,11,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.830,TradeBook,1757835299829,1757835299829,1757835299829,1757835299830,1757835299752,1757835299754,-75,1,2,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.933,OrderBook,1757835299839,1757835299840,1757835299840,1757835299932,1757835299848,1757835299851,12,92,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.933,OrderBook,1757835299850,1757835299850,1757835299851,1757835299932,1757835299848,1757835299851,1,82,3,0,0,84.0,126,3,2,1
2025-09-14 07:34:59.933,TradeBook,1757835299860,1757835299861,1757835299861,1757835299932,1757835299848,1757835299851,-9,71,3,0,0,84.0,126,3,2,1
