# Sample OrderBook Dataset (50 columns)
# Format: OrderId,Symbol,Side,Price,Quantity,Timestamp,Status,OrderType,TimeInForce,StopPrice,LimitPrice,FilledQuantity,RemainingQuantity,AvgFillPrice,Exchange,ClientId,AccountId,TraderId,Strategy,Portfolio,RiskLimit,ExposureAmount,RiskGroup,MarginRequirement,Currency,BidPrice,AskPrice,MidPrice,SpreadBps,BidSize,AskSize,LastPrice,Volume,VWAP,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10,Value1,Value2,Value3,Value4,Value5,Counter1

ORD1234567,AAPL,Buy,150.25,1000,2024-01-15 09:30:00.123,Active,Limit,DAY,149.50,150.00,0,1000,0.00,NYSE,CLIENT_1001,ACC_12345,TRADER_101,Momentum,PORT_1,500000.00,75000.00,RG_1,15025.00,USD,150.20,150.30,150.25,6.7,2000,1500,150.22,1250000,150.18,TAG1,TAG2,TAG3,TAG4,TAG5,TAG6,TAG7,TAG8,TAG9,TAG10,125.50,89.75,234.12,67.33,445.67,1001
ORD2345678,MSFT,Sell,330.75,500,2024-01-15 09:30:01.456,Active,Market,IOC,0.00,330.75,250,250,330.70,NASDAQ,CLIENT_1002,ACC_23456,TRADER_102,Arbitrage,PORT_2,750000.00,165375.00,RG_2,16537.50,USD,330.70,330.80,330.75,3.0,800,600,330.72,987500,330.68,TAGB1,TAGB2,TAGB3,TAGB4,TAGB5,TAGB6,TAGB7,TAGB8,TAGB9,TAGB10,298.45,412.33,156.78,289.12,367.89,2001
ORD3456789,GOOGL,Buy,2750.50,100,2024-01-15 09:30:02.789,Partial,Limit,GTC,2745.00,2750.50,75,25,2749.25,ARCA,CLIENT_1003,ACC_34567,TRADER_103,MarketMaking,PORT_3,1000000.00,275050.00,RG_3,27505.00,USD,2750.25,2750.75,2750.50,1.8,150,125,2750.40,567800,2750.15,TAGC1,TAGC2,TAGC3,TAGC4,TAGC5,TAGC6,TAGC7,TAGC8,TAGC9,TAGC10,1899.67,2156.88,3567.22,1234.56,987.34,3001
ORD4567890,TSLA,Buy,245.80,750,2024-01-15 09:30:03.234,Active,Limit,DAY,244.50,245.80,0,750,0.00,NYSE,CLIENT_1004,ACC_45678,TRADER_104,Scalping,PORT_4,300000.00,184350.00,RG_4,18435.00,USD,245.75,245.85,245.80,4.1,1200,900,245.78,2100000,245.76,TAGD1,TAGD2,TAGD3,TAGD4,TAGD5,TAGD6,TAGD7,TAGD8,TAGD9,TAGD10,189.23,345.67,567.89,123.45,678.90,4001
ORD5678901,NVDA,Sell,875.25,200,2024-01-15 09:30:04.567,Active,Stop,GTC,870.00,0.00,0,200,0.00,NASDAQ,CLIENT_1005,ACC_56789,TRADER_105,MeanReversion,PORT_5,800000.00,175050.00,RG_5,17505.00,USD,875.20,875.30,875.25,1.1,500,400,875.23,890000,875.21,TAGE1,TAGE2,TAGE3,TAGE4,TAGE5,TAGE6,TAGE7,TAGE8,TAGE9,TAGE10,756.78,432.10,890.12,345.67,234.56,5001
ORD6789012,AMD,Buy,118.90,1500,2024-01-15 09:30:05.890,Active,Limit,DAY,118.50,118.90,500,1000,118.85,NYSE,CLIENT_1006,ACC_67890,TRADER_106,Momentum,PORT_6,400000.00,178350.00,RG_6,17835.00,USD,118.85,118.95,118.90,8.4,2500,1800,118.88,1750000,118.87,TAGF1,TAGF2,TAGF3,TAGF4,TAGF5,TAGF6,TAGF7,TAGF8,TAGF9,TAGF10,102.34,567.89,234.56,789.01,456.78,6001
ORD7890123,META,Sell,485.60,300,2024-01-15 09:30:06.123,Filled,Market,IOC,0.00,485.60,300,0,485.55,NASDAQ,CLIENT_1007,ACC_78901,TRADER_107,Arbitrage,PORT_7,600000.00,145680.00,RG_7,14568.00,USD,485.55,485.65,485.60,2.1,800,650,485.58,1200000,485.57,TAGG1,TAGG2,TAGG3,TAGG4,TAGG5,TAGG6,TAGG7,TAGG8,TAGG9,TAGG10,421.23,678.90,345.67,567.89,123.45,7001
ORD8901234,NFLX,Buy,612.75,400,2024-01-15 09:30:07.456,Active,Limit,GTC,610.00,612.75,150,250,612.70,NYSE,CLIENT_1008,ACC_89012,TRADER_108,MarketMaking,PORT_8,500000.00,245100.00,RG_8,24510.00,USD,612.70,612.80,612.75,1.6,600,550,612.73,980000,612.72,TAGH1,TAGH2,TAGH3,TAGH4,TAGH5,TAGH6,TAGH7,TAGH8,TAGH9,TAGH10,534.56,789.01,456.78,234.56,890.12,8001
ORD9012345,CRM,Sell,267.40,600,2024-01-15 09:30:08.789,Active,Stop,DAY,265.00,0.00,0,600,0.00,NASDAQ,CLIENT_1009,ACC_90123,TRADER_109,MeanReversion,PORT_9,350000.00,160440.00,RG_9,16044.00,USD,267.35,267.45,267.40,3.7,1000,800,267.38,1400000,267.37,TAGI1,TAGI2,TAGI3,TAGI4,TAGI5,TAGI6,TAGI7,TAGI8,TAGI9,TAGI10,234.67,456.78,678.90,345.67,567.89,9001
ORD0123456,PYPL,Buy,58.25,2000,2024-01-15 09:30:09.012,Active,Limit,DAY,58.00,58.25,800,1200,58.20,NYSE,CLIENT_1010,ACC_01234,TRADER_110,Scalping,PORT_10,250000.00,116500.00,RG_10,11650.00,USD,58.20,58.30,58.25,17.2,3000,2500,58.23,3200000,58.22,TAGJ1,TAGJ2,TAGJ3,TAGJ4,TAGJ5,TAGJ6,TAGJ7,TAGJ8,TAGJ9,TAGJ10,50.78,123.45,789.01,456.78,234.56,10001
