# Sample TradeBook Dataset (50 columns)
# Format: TradeId,Symbol,Side,Price,Quantity,Timestamp,Status,BuyOrderId,SellOrderId,Commission,Fees,NetAmount,SettlementDate,ClearingFirm,Exchange,BuyerId,SellerId,BuyerAccount,SellerAccount,ExecutingBroker,RiskGroup,ExposureImpact,ComplianceStatus,RegReportingStatus,Currency,MarketPrice,PriceDeviation,MarketImpact,MarketVolume,VWAP,TWAPPrice,TradeCondition,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10,Value1,Value2,Value3,Value4,Value5,Counter1,Counter2,Counter3

TRD7890123,AAPL,Buy,150.25,500,2024-01-15 09:30:05.123,Executed,ORD1234567,ORD9876543,0.75,0.15,75124.10,2024-01-17,CLEAR_01,NYSE,BUYER_1001,SELLER_2002,BACC_12345,SACC_67890,BROKER_101,RG_1,37562.05,Cleared,Reported,USD,150.22,0.03,0.0012,1250000,150.18,150.20,Normal,TTAG1,TTAG2,TTAG3,TTAG4,TTAG5,TTAG6,TTAG7,TTAG8,TTAG9,TTAG10,125.67,234.89,456.12,789.34,321.56,5001,6002,7003
TRD8901234,MSFT,Sell,330.75,250,2024-01-15 09:30:06.456,Executed,ORD2345678,ORD8765432,0.83,0.17,82686.00,2024-01-17,CLEAR_02,NASDAQ,BUYER_2001,SELLER_1002,BACC_23456,SACC_78901,BROKER_102,RG_2,41343.00,Cleared,Reported,USD,330.70,0.05,0.0015,987500,330.68,330.72,Normal,TTAG1B,TTAG2B,TTAG3B,TTAG4B,TTAG5B,TTAG6B,TTAG7B,TTAG8B,TTAG9B,TTAG10B,298.45,567.89,123.45,890.12,345.67,6001,7002,8003
TRD9012345,GOOGL,Buy,2750.50,75,2024-01-15 09:30:07.789,Executed,ORD3456789,ORD7654321,20.63,4.12,206233.25,2024-01-17,CLEAR_03,ARCA,BUYER_3001,SELLER_2003,BACC_34567,SACC_89012,BROKER_103,RG_3,103116.63,Cleared,Reported,USD,2749.25,1.25,0.0045,567800,2750.15,2749.85,Normal,TTAG1C,TTAG2C,TTAG3C,TTAG4C,TTAG5C,TTAG6C,TTAG7C,TTAG8C,TTAG9C,TTAG10C,1899.67,3456.78,2134.56,4567.89,1678.90,7001,8002,9003
TRD0123456,TSLA,Sell,245.80,300,2024-01-15 09:30:08.012,Executed,ORD4567890,ORD6543210,0.74,0.12,73702.14,2024-01-17,CLEAR_04,NYSE,BUYER_4001,SELLER_3003,BACC_45678,SACC_90123,BROKER_104,RG_4,36851.07,Cleared,Reported,USD,245.75,0.05,0.0020,2100000,245.76,245.78,Normal,TTAG1D,TTAG2D,TTAG3D,TTAG4D,TTAG5D,TTAG6D,TTAG7D,TTAG8D,TTAG9D,TTAG10D,189.23,678.90,345.67,123.45,567.89,8001,9002,1003
TRD1234567,NVDA,Buy,875.25,150,2024-01-15 09:30:09.345,Executed,ORD5678901,ORD5432109,1.31,0.26,131285.43,2024-01-17,CLEAR_05,NASDAQ,BUYER_5001,SELLER_4004,BACC_56789,SACC_01234,BROKER_105,RG_5,65642.72,Cleared,Reported,USD,875.20,0.05,0.0006,890000,875.21,875.23,Normal,TTAG1E,TTAG2E,TTAG3E,TTAG4E,TTAG5E,TTAG6E,TTAG7E,TTAG8E,TTAG9E,TTAG10E,756.78,432.10,890.12,345.67,234.56,9001,1002,2003
TRD2345678,AMD,Sell,118.90,800,2024-01-15 09:30:10.678,Executed,ORD6789012,ORD4321098,0.95,0.19,95041.86,2024-01-17,CLEAR_06,NYSE,BUYER_6001,SELLER_5005,BACC_67890,SACC_12345,BROKER_106,RG_6,47520.93,Cleared,Reported,USD,118.85,0.05,0.0034,1750000,118.87,118.88,Normal,TTAG1F,TTAG2F,TTAG3F,TTAG4F,TTAG5F,TTAG6F,TTAG7F,TTAG8F,TTAG9F,TTAG10F,102.34,567.89,234.56,789.01,456.78,1001,2002,3003
TRD3456789,META,Buy,485.60,200,2024-01-15 09:30:11.901,Executed,ORD7890123,ORD3210987,0.97,0.19,97058.84,2024-01-17,CLEAR_07,NASDAQ,BUYER_7001,SELLER_6006,BACC_78901,SACC_23456,BROKER_107,RG_7,48529.42,Cleared,Reported,USD,485.55,0.05,0.0010,1200000,485.57,485.58,Normal,TTAG1G,TTAG2G,TTAG3G,TTAG4G,TTAG5G,TTAG6G,TTAG7G,TTAG8G,TTAG9G,TTAG10G,421.23,678.90,345.67,567.89,123.45,2001,3002,4003
TRD4567890,NFLX,Sell,612.75,120,2024-01-15 09:30:12.234,Executed,ORD8901234,ORD2109876,0.74,0.15,73454.11,2024-01-17,CLEAR_08,NYSE,BUYER_8001,SELLER_7007,BACC_89012,SACC_34567,BROKER_108,RG_8,36727.06,Cleared,Reported,USD,612.70,0.05,0.0008,980000,612.72,612.73,Normal,TTAG1H,TTAG2H,TTAG3H,TTAG4H,TTAG5H,TTAG6H,TTAG7H,TTAG8H,TTAG9H,TTAG10H,534.56,789.01,456.78,234.56,890.12,3001,4002,5003
TRD5678901,CRM,Buy,267.40,350,2024-01-15 09:30:13.567,Executed,ORD9012345,ORD1098765,0.94,0.19,93544.87,2024-01-17,CLEAR_09,NASDAQ,BUYER_9001,SELLER_8008,BACC_90123,SACC_45678,BROKER_109,RG_9,46772.44,Cleared,Reported,USD,267.35,0.05,0.0019,1400000,267.37,267.38,Normal,TTAG1I,TTAG2I,TTAG3I,TTAG4I,TTAG5I,TTAG6I,TTAG7I,TTAG8I,TTAG9I,TTAG10I,234.67,456.78,678.90,345.67,567.89,4001,5002,6003
TRD6789012,PYPL,Sell,58.25,1000,2024-01-15 09:30:14.890,Executed,ORD0123456,ORD0987654,0.58,0.12,58191.30,2024-01-17,CLEAR_10,NYSE,BUYER_0001,SELLER_9009,BACC_01234,SACC_56789,BROKER_110,RG_10,29095.65,Cleared,Reported,USD,58.20,0.05,0.0086,3200000,58.22,58.23,Normal,TTAG1J,TTAG2J,TTAG3J,TTAG4J,TTAG5J,TTAG6J,TTAG7J,TTAG8J,TTAG9J,TTAG10J,50.78,123.45,789.01,456.78,234.56,5001,6002,7003
